,Address,Coordinates
138,"3800  MISSION BOULEVARD, SAN DIEGO","(32.7846471, -117.2530704)"
139,"11200  CAM RUIZ , SAN DIEGO","(32.9250686, -117.1440688)"
140,"3900  CLEVELAND AVENUE, SAN DIEGO","(32.750211699999994, -117.15084579999998)"
141,"2700  TORREY PINES ROAD, SAN DIEGO","(32.852348, -117.2461397)"
142,"8900  CAM SANTA FE , SAN DIEGO","(33.0330208, -117.1237446)"
143,"2100  54TH STREET, SAN DIEGO","(32.7275986, -117.0819281)"
144,"12600 N TORREY PINES ROAD, SAN DIEGO","(32.9336768, -117.2606779)"
145,"8500  MISSION GORGE ROAD, SAN DIEGO","(32.8385574, -116.9737253)"
146,"4500  COLLWOOD BOULEVARD, SAN DIEGO","(32.7599312, -117.0806935)"
147,"2200  HOTEL CIRCLE, SAN DIEGO","(32.759241700000004, -117.1793148)"
148,"2400  TORREY PINES ROAD, SAN DIEGO","(32.850746, -117.2505622)"
149,"0  I-5 SB , SAN DIEGO","(32.7225886, -117.16120929999998)"
150,"2100  STATION VILLAGE WAY, SAN DIEGO","(32.7742542, -117.142059)"
151,"4700  KENSINGTON DRIVE, SAN DIEGO","(32.7632554, -117.1073475)"
152,"7000  FRIARS ROAD, SAN DIEGO","(32.7693892, -117.1701881)"
153,"4500  MANITOU WAY, SAN DIEGO","(32.8336109, -117.1947194)"
154,"600  BROADWAY , SAN DIEGO","(32.71571309999999, -117.1592957)"
155,"1000  EUCLID AVENUE, SAN DIEGO","(32.7168935, -117.0850291)"
156,"3900  WABASH AVENUE, SAN DIEGO","(32.7491172, -117.1208639)"
157,"6000  CARMEL VALLEY ROAD, SAN DIEGO","(32.9612947, -117.191611)"
158,"3000  CONNER WAY, SAN DIEGO","(32.8176779, -117.21681940000002)"
159,"4500  CLAIREMONT DRIVE, SAN DIEGO","(32.8244981, -117.2061045)"
160,"7400  FRIARS ROAD, SAN DIEGO","(32.7719936, -117.1597232)"
161,"4200  04TH AVENUE, SAN DIEGO","(32.7548564, -117.16167659999998)"
162,"4500  MONTEZUMA ROAD, SAN DIEGO","(32.7718518, -117.0945594)"
163,"18400  SAN PASQUAL VALLEY ROAD, SAN DIEGO","(33.0845624, -116.91607009999998)"
164,"6400  EDMONTON AVENUE, SAN DIEGO","(32.854600500000004, -117.2016744)"
