,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lon
14790,184811,2018-06-23 12:00:00,243,9200, ,MIRAMAR,ROAD, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,,
14791,184855,2018-06-23 12:10:00,443,1700,S,43RD,STREET, , , ,21802A,VC,ENTRANCE FROM STOP THROUGH HIGHWAYYIELD UNTIL REASONABLY SAFE,2,0,,,
14792,184873,2018-06-23 12:23:00,442,3800, ,BETA,STREET, , , ,21663,VC,DRIVING ON SIDEWALKS,0,0,MISDEMEANOR,,
14793,184841,2018-06-23 12:49:00,115,3600, ,NOBEL,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,,
14794,184828,2018-06-23 12:57:00,933,2000, ,CARMEL VALLEY,ROAD, , , ,21211,VC,BLOCKING THE BICYCLE LANE,1,0,,,
14795,184875,2018-06-23 13:05:00,447,4300, ,HOME,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,,,
14796,184949,2018-06-23 14:00:00,313,8600, ,CLAIREMONT MESA,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14797,184994,2018-06-23 14:29:00,123,1300, ,WEST MISSION BAY,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,,
14798,185065,2018-06-23 15:00:00,813,3200, ,EL CAJON,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14799,184789,2018-06-23 18:48:00,813,2900, ,NORTH PARK,WAY, , , ,22100A,VC,RIGHT TURNS AT INTERSECTIONS,0,0,MISDEMEANOR,,
14800,184845,2018-06-23 19:55:00,315,1200, ,CAM DEL RIO NORTH, , , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,,
14801,184819,2018-06-23 20:03:00,712,1600, ,VIA DEL MESONERO, , , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,,
14802,184803,2018-06-23 20:15:00,621,6400, ,LANSTON,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14803,185208,2018-06-23 21:09:00,813,3100, ,UNIVERSITY,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14804,184805,2018-06-23 21:30:00,625,3800, ,AMPUDIA, , , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14805,185194,2018-06-23 21:46:00,622,5400, ,LINDA VISTA,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,,
14806,185056,2018-06-23 21:56:00,614,2000, ,BACON,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,,
14807,184865,2018-06-23 22:00:00,521,200, ,06TH,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14808,184840,2018-06-23 22:30:00,123,1800, ,WEST MISSION BAY,DRIVE, , , ,21703,VC,FOLLOWING TOO CLOSELY,1,0,,,
14809,184818,2018-06-23 23:53:00,234,12000, ,RANCHO BERNARDO,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,,
14810,184788,2018-06-24 00:01:00,824,4400, ,50TH,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14811,184838,2018-06-24 00:25:00,613,3800, ,TENNYSON,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,,
14812,184807,2018-06-24 02:00:00,122,1800, ,BERYL,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14813,184814,2018-06-24 02:20:00,611,3800, ,MIDWAY,DRIVE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,1,0,MISDEMEANOR,,
14814,184820,2018-06-24 02:32:00,725,4800, ,SEA CORAL,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,,
14815,184813,2018-06-24 04:40:00,444,3600, ,FEDERAL,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14816,184898,2018-06-24 08:30:00,311,3300, ,MURPHY CANYON,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14817,184831,2018-06-24 10:10:00,233,12900, ,RANCHO PENASQUITOS,BOULEVARD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,,
14818,184827,2018-06-24 11:03:00,931,5900, ,MIRA MESA,BOULEVARD, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,2,0,,,
14819,184934,2018-06-24 11:14:00,233,13500, ,BLACK MTN,ROAD, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,,
14820,185053,2018-06-24 11:22:00,233,9600, ,CARMEL MTN,ROAD, , , ,21453C,VC,RED ARROWDO NOT ENTER INTERSECTION,1,0,,,
14821,184939,2018-06-24 12:23:00,313,8800, ,CLAIREMONT MESA,BOULEVARD, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,2,0,,,
14822,184849,2018-06-24 14:17:00,811,3300, ,MONROE,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,,
14823,184916,2018-06-24 14:20:00,325,6700, ,BESTWOOD,COURT, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,2,0,,,
14824,185010,2018-06-24 15:00:00,839,3700, ,WILSON,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,,
14825,185051,2018-06-24 15:10:00,321,4800, ,WARING,ROAD, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,,
14826,184879,2018-06-24 15:11:00,627,1000, ,UNIVERSITY,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,,
14827,184877,2018-06-24 16:00:00,623,7000, ,FRIARS,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
